Year|Month|DayofMonth|DayOfWeek|DepTime|CRSDepTime|ArrTime|CRSArrTime|UniqueCarrier|FlightNum|TailNum|ActualElapsedTime|CRSElapsedTime|AirTime|ArrDelay|DepDelay|Origin|Dest|Distance
2008|1|30|3|844|845|1127|1130|WN|988|N905WN|163|165|142|-3|-1|MDW|HOU|937
2008|1|31|4|1630|1620|1953|1955|WN|1280|N779SW|323|335|305|-2|10|PHL|PHX|2075
2008|1|14|1|1814|1700|1925|1820|XE|321|N16561|71|80|57|65|74|SAT|OKC|407
2008|1|28|1|1140|1130|1314|1255|XE|7766|N10575|94|85|56|19|10|SMF|LAX|373
2008|1|25|5|912|915|1101|1125|XE|2400|N13988|169|190|142|-24|-3|EWR|STL|872
2008|1|10|4|1708|1655|1805|1757|XE|3043|N15527|57|62|42|8|13|SHV|IAH|192
2008|1|9|3|922|845|1157|1124|XE|2851|N17138|215|219|175|33|37|EWR|MCI|1092
2008|1|8|2|1312|1245|1401|1342|XE|3075|N14960|49|57|37|19|27|EWR|PVD|160
2008|1|20|7|938|900|1036|1010|XE|1274|N15986|58|70|38|26|38|IAD|EWR|213
2008|1|15|2|1700|1650|1913|1844|XE|3104|N14522|193|174|171|29|10|CRW|IAH|975
2008|1|21|1|1911|1900|2205|2140|XE|2848|N13979|174|160|143|25|11|IAH|MKE|984
2008|1|6|7|1726|1453|1855|1629|YV|7357|N570ML|89|96|59|146|153|FSD|ORD|462
2008|1|11|5|2050|2055|2125|2128|YV|2745|N988HA|95|93|65|-3|-5|PHX|PSP|261
2008|1|17|4|1030|1030|1115|1110|YV|1024|N654BR|45|40|31|5|0|KOA|HNL|163
2008|1|23|3|2355|2015|37|2117|YV|2699|N923FJ|42|62|28|200|220|CLT|MYR|156
2008|1|28|1|1855|1809|1942|1902|YV|2771|N17337|107|113|90|40|46|PHX|MRY|598
2008|1|4|5|2020|1955|2020|2009|OH|5640|N595SW|60|74|49|11|25|CVG|B|230
2008|1|11|5|2010|1827|2134|2015|OH|5391|N487CA|84|108|74|79|103|CHS|CVG|497
2008|1|18|5|1040|1035|1305|1319|OH|5153|N709CA|145|164|121|-14|5|JAX|BOS|1011
2008|1|25|5|2215|2149|19|8|OH|4948|N597SW|124|139|105|11|26|LGA|TYS|647
2008|1|31|4|1045|1045|1317|1253|OH|5462|N814CA|152|128|91|24|0|LGA|CMH|478
2008|1|3|4|1937|1940|2316|2323|OO|4074|N613SK|159|163|133|-7|-3|SLC|AUS|1085
2008|1|5|6|1920|1540|2131|1712|OO|6408|N905SW|131|92|101|259|220|EUG|SFO|451
2008|1|8|2|1012|1012|1122|1124|OO|3965|N408SW|70|72|43|-2|0|BOI|SLC|291
2008|1|10|4|1715|1714|1956|2000|OO|6099|N748SK|221|226|191|-4|1|ORD|BOI|1437
2008|1|13|7|1844|1835|1915|1914|OO|5492|N582SW|31|39|19|1|9|MRY|SFO|77
2008|1|15|2|1640|1652|1824|1834|OO|6639|N906SW|104|102|82|-10|-12|BZN|DEN|525
2008|1|18|5|1006|945|1108|1050|OO|5481|N227SW|62|65|47|18|21|SFO|RDD|199
2008|1|21|1|1422|1330|1534|1426|OO|3744|N410SW|132|116|104|68|52|SLC|BUR|574
2008|1|23|3|2000|1740|2143|1919|OO|5871|N712SK|163|159|131|144|140|ORD|COS|911
2008|1|26|6|1848|1855|2008|2012|OO|3708|N297SW|80|77|60|-4|-7|SGU|SLC|269
2008|1|28|1|1423|1118|1610|1225|OO|6344|N946SW|167|127|99|225|185|SLC|SFO|599
2008|1|31|4|2059|2100|2229|2205|OO|3983|N408SW|150|125|127|24|-1|SLC|OAK|588
2008|1|16|3|718|721|1307|1332|UA|102|N598UA|229|251|213|-25|-3|SFO|ORD|1846
2008|1|14|1|1759|1748|1936|1925|UA|253|N781UA|157|157|114|11|11|ORD|DEN|888
2008|1|21|1|1500|1500|1717|1625|UA|385|N809UA|137|85|83|52|0|ORD|MSP|334
2008|1|15|2|2052|2100|2242|2241|UA|505|N841UA|170|161|142|1|-8|DEN|OAK|957
2008|1|9|3|1111|1115|1231|1243|UA|633|N674UA|140|148|110|-12|-4|DEN|LAX|862
2008|1|11|5|NaN|1318|NaN|1532|UA|776|N812UA|NaN|74|NaN|NaN|NaN|ORD|CVG|264
2008|1|25|5|1259|1230|1536|1458|UA|945|N535UA|277|268|256|38|29|ORD|LAX|1745
2008|1|30|3|1118|1117|1402|1405|UA|1222|N365UA|104|108|91|-3|1|ORD|CLT|599
2008|1|11|5|1154|845|1458|1142|UA|1510|N484UA|124|117|87|196|189|SFO|PHX|651
2008|1|1|2|1351|1350|1553|1538|US|953|N119US|122|108|93|15|1|PHL|CLT|448
2008|1|4|5|1647|1630|1834|1822|US|723|N443US|107|112|70|12|17|PHL|CLT|448
2008|1|7|1|753|730|842|827|US|1455|N112US|49|57|30|15|23|RDU|CLT|130
2008|1|10|4|1536|1540|1815|1845|US|1024|N271AY|219|245|201|-30|-4|SJU|PHL|1576
2008|1|14|1|NaN|1330|NaN|1459|US|2034||NaN|89|NaN|NaN|NaN|DCA|BOS|399
2008|1|17|4|1312|1155|1523|1426|US|1218|N526AU|131|151|114|57|77|FLL|DCA|899
2008|1|20|7|926|930|1208|1232|US|1239|N954UW|222|242|201|-24|-4|PHL|DFW|1302
2008|1|23|3|1129|1132|1313|1331|US|586|N322AW|164|179|135|-18|-3|PHX|GEG|1020
2008|1|26|6|900|829|1135|1037|US|438|N629AW|335|308|320|58|31|TPA|LAS|1984
2008|1|30|3|2222|2230|2352|2348|US|1002|N705UW|90|78|58|4|-8|CLT|JAX|329
2008|1|1|2|2030|1845|2306|2140|WN|1394|N712SW|156|175|135|86|105|MDW|SAT|1036
2008|1|2|3|1635|1630|1715|1720|WN|1305|N205WN|40|50|27|-5|5|RSW|MCO|133
2008|1|17|4|1754|1745|2022|2019|DL|684|N704X|148|154|111|3|9|ATL|BOS|946
2008|1|20|7|1324|1325|1424|1432|DL|1244|N609DL|60|67|43|-8|-1|ATL|JAX|270
2008|1|23|3|2047|2050|2218|2218|DL|1725|N651DL|91|88|63|0|-3|ATL|TPA|406
2008|1|27|7|1215|1215|1349|1350|DL|500|N901DE|94|95|68|-1|0|ATL|IND|432
2008|1|30|3|1155|1159|1725|1730|DL|856|N127DL|210|211|181|-5|-4|PHX|ATL|1587
2008|1|27|7|1858|1858|1853|1905|EV|4222|N640AS|55|67|33|-12|0|ATL|MGM|147
2008|1|24|4|913|720|1041|849|EV|4343|N914EV|88|89|61|112|113|ATL|RIC|481
2008|1|15|2|2125|2125|2149|2205|EV|4474|N825AS|84|100|69|-16|0|ATL|MLU|448
2008|1|27|7|924|925|1042|1045|EV|4607|N882AS|78|80|50|-3|-1|ATL|FAY|331
2008|1|28|1|1647|1650|1834|1850|EV|4747|N867AS|47|60|33|-16|-3|DHN|ATL|171
2008|1|14|1|1543|1545|1747|1750|EV|4885|N936EV|64|65|46|-3|-2|VPS|ATL|264
2008|1|11|5|605|615|734|740|F9|851|N930FR|209|205|186|-6|-10|ATL|DEN|1199
2008|1|28|1|1326|1330|1616|1620|F9|126|N806FR|110|110|90|-4|-4|DEN|DFW|641
2008|1|5|6|1538|1539|1650|1654|FL|113|N283AT|132|135|118|-4|-1|ATL|DFW|732
2008|1|10|4|554|600|727|729|FL|132|N991AT|93|89|74|-2|-6|TPA|ATL|406
2008|1|17|4|2133|2010|2341|2226|FL|538|N292AT|248|256|227|75|83|ATL|PHX|1587
2008|1|23|3|1223|1219|1402|1359|FL|202|N979AT|99|100|84|3|4|CAK|ATL|528
2008|1|29|2|1637|1631|1939|1931|FL|686|N895AT|122|120|99|8|6|ICT|ATL|781
2008|1|29|2|1357|1401|1428|1430|HA|179|N484HA|31|29|17|-2|-4|KOA|OGG|84
2008|1|27|7|1649|1627|1754|1720|MQ|3092|N301AE|65|53|31|34|22|SAN|LAX|109
2008|1|25|5|1615|1559|1815|1755|MQ|3272|N236AE|120|116|92|20|16|LRD|DFW|394
2008|1|2|3|1439|1420|1543|1535|MQ|3455|N619AE|64|75|51|8|19|DFW|AMA|313
2008|1|31|4|1309|1310|1631|1640|MQ|3629|N660CL|142|150|119|-9|-1|DFW|GSO|999
2008|1|8|2|1425|1425|1517|1515|MQ|3787|N512AE|52|50|31|2|0|DFW|GRK|134
2008|1|17|4|NaN|1540|NaN|1635|MQ|3960||NaN|55|NaN|NaN|NaN|PIA|ORD|130
2008|1|18|5|935|750|1013|845|MQ|4104|N636AE|38|55|19|88|105|MKE|ORD|67
2008|1|14|1|2049|1925|2220|1925|MQ|4250|N811AE|151|60|32|175|84|AZO|ORD|122
2008|1|15|2|638|640|747|750|MQ|4397|N644AE|69|70|53|-3|-2|ORD|RST|268
2008|1|9|3|605|605|800|720|MQ|4602|N737MW|115|75|82|40|0|BOS|JFK|187
2008|1|12|6|1842|1855|2102|2120|MQ|4830|N706RG|140|145|122|-18|-13|LGA|SDF|658
2008|1|25|5|612|620|757|807|NW|197|N343NB|165|167|138|-10|-8|IAD|MSP|908
2008|1|3|4|1544|1550|1702|1707|NW|352|N769NC|78|77|57|-5|-6|MSY|MEM|349
2008|1|4|5|658|702|924|925|NW|542|N9336|86|83|56|-1|-4|ORD|DTW|235
2008|1|9|3|1608|1614|1753|1803|NW|755|N760NW|105|109|85|-10|-6|ALB|DTW|488
2008|1|21|1|719|647|833|813|NW|966|N8944E|74|86|44|20|32|PIT|DTW|201
2008|1|27|7|1851|1850|2222|2220|NW|1216|N343NW|151|150|130|2|1|MSP|BDL|1050
2008|1|20|7|1656|1635|1759|1752|NW|1535|N354NB|63|77|52|7|21|BIS|MSP|386
2008|1|8|2|1805|1805|1959|2012|NW|1763|N8920E|114|127|83|-13|0|PHL|DTW|453
2008|1|27|7|1708|1620|1838|1817|9E|2915|89719E|90|117|73|21|48|SWF|DTW|479
2008|1|9|3|911|916|1120|1130|9E|3747|88699E|129|134|100|-10|-5|DTW|SAV|706
2008|1|21|1|1830|1835|2028|2110|9E|4795|86889E|118|155|94|-42|-5|PHL|IND|587
2008|1|24|4|831|835|1042|1050|9E|5734|85249E|71|75|45|-8|-4|MEM|TYS|342
2008|1|6|7|1810|1715|2038|2000|9E|5847|88369E|88|105|66|38|55|STL|DTW|440
2008|1|2|3|1913|1915|2202|2158|9E|5966|87459E|109|103|81|4|-2|MEM|GSO|570
2008|1|29|2|1147|1145|1459|1329|AA|321|N232AA|252|164|132|90|2|LGA|ORD|733
2008|1|5|6|1640|1640|1801|1755|AA|458|N475AA|81|75|46|6|0|IAH|DFW|224
2008|1|6|7|1730|1730|2004|2015|AA|636|N425AA|94|105|74|-11|0|ABQ|DFW|569
2008|1|1|2|2137|1900|141|2310|AA|804|N5FDAA|184|190|167|151|157|PHX|ORD|1440
2008|1|14|1|914|915|1114|1135|AA|1049|N5FSAA|240|260|221|-21|-1|STL|SFO|1736
2008|1|31|4|NaN|1800|NaN|2000|AA|1179||NaN|180|NaN|NaN|NaN|BOS|ORD|867
2008|1|31|4|2059|2000|36|2330|AA|1320|N3CRAA|157|150|134|66|59|DFW|FLL|1119
2008|1|22|2|751|730|1043|1025|AA|1462|N558AA|112|115|89|18|21|ORD|EWR|719
2008|1|4|5|1510|1430|2053|2035|AA|1624|N641AA|223|245|199|18|40|LAX|ORD|1745
2008|1|13|7|1736|1615|1919|1755|AA|1790|N441AA|103|100|76|84|81|DFW|STL|551
2008|1|19|6|1809|1735|1924|1900|AA|1951|N520AA|75|85|53|24|34|ICT|DFW|328
2008|1|18|5|2142|2010|2246|2120|AA|2232|N436AA|64|70|41|86|92|STL|ORD|258
2008|1|29|2|2010|1845|2314|2150|AA|2472|N5EBAA|184|185|164|84|85|MIA|BOS|1258
2008|1|3|4|1641|1630|2340|2331|AQ|468|N738AL|299|301|288|9|11|OGG|SMF|2404
2008|1|9|3|2354|2150|200|23|AS|512|N305AS|126|153|110|97|124|SEA|LAX|954
2008|1|18|5|1324|1305|2055|2059|AS|6|N566AS|271|294|250|-4|19|LAX|DCA|2311
2008|1|28|1|1354|1345|1656|1704|AS|76|N584AS|122|139|104|-8|9|JNU|SEA|909
2008|1|5|6|1527|1535|1638|1645|B6|72|N273JB|71|70|46|-7|-8|JFK|SYR|209
2008|1|13|7|NaN|1835|NaN|2000|B6|1017||NaN|85|NaN|NaN|NaN|BOS|JFK|187
2008|1|20|7|713|720|935|956|B6|34|N556JB|142|156|116|-21|-7|PBI|JFK|1028
2008|1|28|1|1133|1140|1407|1438|B6|347|N504JB|154|178|130|-31|-7|JFK|SRQ|1041
2008|1|12|6|1250|1255|1610|1635|CO|744|N75410|140|160|119|-25|-5|IAH|CLE|1091
2008|1|1|2|822|825|1049|1056|CO|393|N57111|147|151|117|-7|-3|MCO|EWR|938
2008|1|11|5|1654|1605|2128|2040|CO|632|N16618|214|215|179|48|49|IAH|LGA|1416
2008|1|13|7|630|635|807|809|CO|1869|N14358|157|154|132|-2|-5|JAX|IAH|817
2008|1|24|4|555|600|1131|1141|CO|1810|N79279|216|221|199|-10|-5|SMF|IAH|1609
2008|1|18|5|1352|1210|1816|1709|CO|661|N15712|204|239|184|67|102|SAT|EWR|1569
2008|1|1|2|740|740|1027|1028|DL|1842|N972DL|167|168|140|-1|0|PBI|LGA|1035
2008|1|5|6|2000|1920|2255|2155|DL|47|N604DL|355|335|328|60|40|ATL|SFO|2139
2008|1|8|2|1443|1444|1508|1525|DL|915|N979DL|85|101|73|-17|-1|ATL|STL|483
2008|1|11|5|753|755|927|936|DL|1153|N751AT|94|101|74|-9|-2|ATL|RSW|515
2008|1|14|1|1314|1320|1851|1849|DL|1714|N3762Y|217|209|185|2|-6|PHX|CVG|1569
2008|2|3|7|1007|950|1058|1050|WN|1352|N267WN|51|60|41|8|17|SJC|BUR|296
2008|2|5|2|1953|1900|2215|2130|WN|1664|N658SW|82|90|70|45|53|BHM|MCO|478
2008|2|6|3|944|940|1143|1200|WN|3147|N248WN|59|80|47|-17|4|DEN|AMA|358
2008|2|7|4|2211|2145|9|2345|WN|3062|N659SW|58|60|42|24|26|LAS|PHX|256
2008|2|8|5|1144|1145|1504|1515|WN|2533|N790SW|140|150|125|-11|-1|MDW|MCO|989
2008|2|9|6|704|710|726|735|WN|1951|N683SW|82|85|68|-9|-6|TPA|BHM|460
2008|2|11|1|1758|1725|2014|1945|WN|892|N463WN|76|80|65|29|33|ELP|SAT|496
2008|2|12|2|1200|1200|1723|1705|WN|1616|N502SW|203|185|182|18|0|LAX|HOU|1390
2008|2|13|3|818|805|1258|940|WN|3310|N612SW|280|95|86|198|13|MHT|BWI|377
2008|2|14|4|2124|2115|2206|2205|WN|1103|N360SW|102|110|84|1|9|PHX|RNO|601
2008|2|15|5|610|610|740|750|WN|1340|N375SW|90|100|69|-10|0|SLC|PHX|507
2008|2|17|7|2126|2115|2333|2315|WN|2966|N682SW|67|60|46|18|11|LAS|PHX|256
2008|2|18|1|1555|1540|1720|1705|WN|3937|N293|85|85|69|15|15|OAK|LAS|407
2008|2|19|2|1847|1850|2018|2030|WN|967|N641SW|151|160|139|-12|-3|PVD|MDW|842
2008|2|20|3|647|645|913|905|WN|519|N483WN|86|80|51|8|2|S|PHX|338
2008|2|22|5|1948|1915|2156|2135|WN|1464|N366SW|68|80|50|21|33|BUR|PHX|369
2008|2|23|6|1550|1550|1759|1800|WN|1122|N662SW|69|70|44|-1|0|LAS|PHX|256
2008|2|24|7|1404|1405|1544|1550|WN|3169|N550WN|100|105|81|-6|-1|RDU|MCO|534
2008|2|25|1|1347|1350|1435|1440|WN|2537|N717SA|108|110|90|-5|-3|TPA|B|612
2008|2|27|3|1942|1930|2111|2125|WN|1367|N411WN|149|175|129|-14|12|BWI|MCI|967
2008|2|28|4|1750|1730|1907|1850|WN|290|N511SW|77|80|66|17|20|HOU|OKC|419
2008|2|29|5|1242|1240|1606|1620|WN|3689|N357SW|144|160|130|-14|2|MCI|MCO|1072
2008|2|12|2|1453|1455|1603|1612|XE|224|N12195|70|77|56|-9|-2|OKC|AUS|358
2008|2|3|7|940|940|1116|1102|XE|7766|N10575|96|82|66|14|0|LAX|SMF|373
2008|2|22|5|1000|920|1201|1045|XE|2008|N34111|181|145|111|76|40|IAH|COS|809
2008|2|2|6|518|525|741|800|XE|3147|N14116|203|215|190|-19|-7|ORF|IAH|1201
2008|2|29|5|1906|1833|2038|2015|XE|3154|N24128|152|162|133|23|33|GSP|IAH|838
2008|2|25|1|1030|1020|1150|1137|XE|2451|N16927|80|77|55|13|10|IAH|MFE|316
2008|2|9|6|1219|1235|1330|1350|XE|2728|N16927|71|75|58|-20|-16|CLE|RIC|362
2008|2|23|6|1439|1420|1634|1613|XE|2181|N11109|175|173|147|21|19|RSW|IAH|861
2008|2|3|7|1003|1012|1123|1133|YV|7271|N571ML|80|81|52|-10|-9|ROC|IAD|289
2008|2|9|6|1207|1212|1319|1307|YV|7403|N75994|132|115|106|12|-5|IAD|HSV|595
2008|2|15|5|1112|1117|1236|1239|YV|2622|N928LR|84|82|56|-3|-5|ATL|CLT|227
2008|2|20|3|900|905|1147|1200|YV|7211|N77302|107|115|82|-13|-5|ORD|CAE|666
2008|2|26|2|1953|1915|2234|2152|YV|2701|N918FJ|101|97|76|42|38|FAT|PHX|493
2008|2|2|6|1450|1450|1603|1555|OH|5699|N785CA|73|65|55|8|0|PIT|CVG|256
2008|2|9|6|1140|1120|1251|1241|OH|5507|N676CA|71|81|52|10|20|BOS|JFK|187
2008|2|16|6|1220|1220|1430|1428|OH|5208|N721CA|130|128|106|2|0|CVG|PWM|810
2008|2|23|6|1959|1959|2133|2130|OH|5231|N427CA|94|91|70|3|0|RDU|ATL|356
2008|2|1|5|1758|1810|2129|2148|OO|1988|N809SK|151|158|124|-19|-12|MSP|ATL|906
2008|2|3|7|930|936|1032|1043|OO|6041|N927SW|62|67|38|-11|-6|CID|ORD|196
2008|2|6|3|1508|1510|1600|1553|OO|3859|N432SW|112|103|93|7|-2|SLC|PSC|521
2008|2|8|5|1722|1614|1917|1816|OO|5948|N724SK|55|62|32|61|68|ORD|IND|177
2008|2|11|1|843|848|931|937|OO|5439|N229SW|48|49|29|-6|-5|SBA|LAX|89
2008|2|13|3|1322|1325|1415|1419|OO|6529|N726SK|53|54|26|-4|-3|ORD|MSN|109
2008|2|16|6|1717|1710|1859|1850|OO|4066|N800SK|102|100|85|9|7|PHX|SLC|507
2008|2|18|1|2203|2200|2327|2316|OO|6521|N944SW|84|76|54|11|3|LAX|SJC|308
2008|2|21|4|1401|1340|1754|1723|OO|4012|N613SK|173|163|140|31|21|SLC|AUS|1085
2008|2|23|6|1730|1622|1857|1730|OO|6471|N917SW|147|128|116|87|68|ABQ|LAX|677
2008|2|26|2|1921|1925|1943|1947|OO|4037|N809SK|82|82|54|-4|-4|SLC|LAS|368
2008|2|28|4|1159|1203|1336|1345|OO|6087|N712SK|97|102|74|-9|-4|ORD|MEM|491
2008|2|4|1|2125|2135|426|445|UA|68|N595UA|301|310|286|-19|-10|LIH|LAX|2615
2008|2|16|6|1438|1440|1623|1633|UA|233|N310UA|165|173|147|-10|-2|IAD|MSY|954
2008|2|23|6|1058|1025|1304|1251|UA|365|N539UA|246|266|226|13|33|ORD|S|1726
2008|2|14|4|615|618|930|945|UA|484|N925UA|135|147|107|-15|-3|SAN|DEN|853
2008|2|21|4|1137|1140|1255|1252|UA|615|N342UA|138|132|114|3|-3|DCA|ORD|612
2008|2|12|2|1655|1654|1959|2004|UA|756|N314UA|124|130|104|-5|1|DEN|SAT|794
2008|2|13|3|1623|1615|1929|2016|UA|935|N670UA|306|361|282|-47|8|LAX|HNL|2556
2008|2|11|1|NaN|2028|NaN|2159|UA|1221||NaN|151|NaN|NaN|NaN|DEN|BUR|850
2008|2|20|3|NaN|1740|NaN|2158|UA|1526||NaN|198|NaN|NaN|NaN|PHX|ORD|1440
2008|2|1|5|1818|1815|1850|1828|US|1509|N173US|92|73|63|22|3|PHX|SAN|304
2008|2|5|2|1130|1125|1329|1305|US|1729|N432US|119|100|70|24|5|CLT|MCO|468
2008|2|8|5|855|900|1037|1035|US|643|N648AW|282|275|247|2|-5|CMH|LAS|1772
2008|2|11|1|2126|2025|28|2325|US|856|N946UW|122|120|86|63|61|ORD|PHL|678
2008|2|14|4|951|955|1122|1134|US|1991|N733UW|151|159|111|-12|-4|PHL|ORD|678
2008|2|17|7|1924|1925|2219|2220|US|412|N826AW|115|115|93|-1|-1|SFO|PHX|651
2008|2|20|3|1606|1610|1855|1904|US|277|N156AW|109|114|95|-9|-4|SMF|PHX|647
2008|2|24|7|1300|1300|1440|1455|US|1179|N947UW|160|175|143|-15|0|CLT|IAH|913
2008|2|27|3|2153|2159|2336|2354|US|1294|N506AU|103|115|81|-18|-6|CLT|PVD|683
2008|2|1|5|1840|1805|1951|1915|WN|1107|N308SA|71|70|60|36|35|BUF|BWI|281
2008|2|2|6|1843|1810|2306|2255|WN|353|N481WN|143|165|128|11|33|LAS|MCI|1140
2008|2|16|6|918|925|1124|1136|DL|1815|N382DA|126|131|111|-12|-7|MCO|CVG|756
2008|2|20|3|1935|1939|2110|2109|DL|618|N6706Q|95|90|73|1|-4|TPA|ATL|406
2008|2|23|6|1758|1650|2038|1925|DL|821|N130DL|160|155|118|73|68|EWR|ATL|745
2008|2|26|2|1503|1510|1852|1839|DL|1207|N980DL|229|209|210|13|-7|BDL|RSW|1180
2008|2|29|5|555|600|743|748|DL|1294|N604DL|108|108|85|-5|-5|RSW|ATL|515
2008|2|1|5|1501|1251|1449|1250|EV|4279|N930EV|48|59|29|119|130|ATL|DHN|171
2008|2|28|4|2037|2040|2143|2200|EV|4406|N868AS|126|140|111|-17|-3|ATL|ATW|765
2008|2|27|3|1858|1855|2131|2147|EV|4536|N820AS|93|112|66|-16|3|STL|ATL|483
2008|2|25|1|1913|1855|2055|2050|EV|4686|N857AS|102|115|88|5|18|CAE|LGA|617
2008|2|19|2|1230|1230|1324|1329|EV|4837|N632AS|54|59|35|-5|0|ATL|AGS|143
2008|2|6|3|1448|1455|1608|1625|F9|575|N935FR|80|90|65|-17|-7|DEN|SLC|391
2008|2|22|5|1044|1040|1340|1343|F9|216|N948FR|116|123|101|-3|4|DEN|AUS|775
2008|2|4|1|2042|2050|2202|2218|FL|416|N986AT|80|88|64|-16|-8|BWI|PWM|452
2008|2|10|7|900|902|1014|1021|FL|649|N910AT|74|79|53|-7|-2|LGA|PHF|288
2008|2|16|6|1507|1457|1646|1644|FL|67|N951AT|99|107|80|2|10|IAD|ATL|533
2008|2|21|4|1629|1638|1802|1816|FL|824|N939AT|93|98|78|-14|-9|PWM|BWI|452
2008|2|27|3|1402|1400|1547|1535|FL|230|N166AT|105|95|88|12|2|ATL|PBI|545
2008|2|1|5|1329|1335|1409|1418|HA|148|N487HA|40|43|28|-9|-6|HNL|KOA|163
2008|2|26|2|1552|1555|1640|1645|MQ|3082|N317AE|48|50|29|-5|-3|SBA|LAX|89
2008|2|22|5|1202|1206|1307|1300|MQ|3280|N324AE|65|54|32|7|-4|ACT|DFW|89
2008|2|5|2|1121|1125|1340|1330|MQ|3474|N931AE|199|185|162|10|-4|CHS|DFW|987
2008|2|24|7|1042|1050|1149|1155|MQ|3660|N521AE|67|65|50|-6|-8|LBB|DFW|282
2008|2|23|6|1150|1155|1349|1355|MQ|3840|N819AE|119|120|104|-6|-5|DSM|DFW|624
2008|2|10|7|1304|1210|1508|1400|MQ|4006|N925AE|64|50|45|68|54|ORD|GRR|137
2008|2|27|3|755|755|923|920|MQ|4166|N506AE|88|85|57|3|0|ORD|B|409
2008|2|21|4|1031|1030|1312|1325|MQ|4326|N645AE|101|115|85|-13|1|ORD|BWI|622
2008|2|11|1|2211|1910|19|2100|MQ|4502|N639AE|68|50|25|199|181|ORD|AZO|122
2008|2|1|5|808|805|928|930|MQ|4778|N706RG|80|85|56|-2|3|DCA|BOS|399
2008|2|20|3|1401|1419|1551|1620|NW|150|N338NB|170|181|146|-29|-18|PHL|MSP|980
2008|2|6|3|1114|1124|1321|1335|NW|315|N362NW|187|191|159|-14|-10|JFK|MSP|1028
2008|2|22|5|1043|1016|1351|1254|NW|498|N1334U|128|98|91|57|27|MSP|IND|503
2008|2|23|6|609|600|902|838|NW|740|N502US|113|98|68|24|9|MSP|DTW|528
2008|2|17|7|2235|2137|2347|2243|NW|973|N763NW|72|66|36|64|58|DTW|PIT|201
2008|2|25|1|2222|2229|2317|2329|NW|1238|N8944E|55|60|42|-12|-7|MSP|GRB|252
2008|2|8|5|1712|1711|1915|1855|NW|1574|N783NC|123|104|86|20|1|DTW|CLT|500
2008|2|22|5|825|715|1042|936|9E|2023|91539E|77|81|50|66|70|MEM|ATL|332
2008|2|1|5|2043|1933|2149|2040|9E|2983|89649E|66|67|25|69|70|DTW|CLE|95
2008|2|23|6|1640|710|1643|732|9E|4747|86469E|63|82|47|551|570|CMX|MSP|277
2008|2|4|1|1602|1520|1811|1745|9E|5712|89289E|69|85|47|26|42|MEM|TYS|342
2008|2|29|5|1950|1927|2043|2035|9E|5826|89779E|113|128|86|8|23|DTW|DLH|541
2008|2|5|2|937|940|1049|1055|9E|5954|86839E|72|75|49|-6|-3|MEM|SGF|243
2008|2|14|4|835|840|1004|1015|AA|314|N448AA|89|95|70|-11|-5|DFW|STL|551
